TimeStamp,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
20220826020539,POST,Add to Bag,8757,4,240.0,367.82271364873736,82.18037000006007,23712.85808199991,15506.46282973621,13.833099816095894,0.0063186478547885,240,340,440,520,760,1100,1500,1800,3600,24000,24000
20220826020539,GET,Cart Review,4352,0,960.0,1763.583984735751,129.61668000025384,14632.914597999845,44.0,6.874688866009973,0.0,960,1500,2000,2400,3800,7100,10000,11000,14000,15000,15000
20220826020539,GET,Get Cookies,4393,0,410.0,635.7596669212373,139.663045999896,4412.297406000107,656609.8315501935,6.9394550065215554,0.0,410,590,780,910,1400,1900,2600,2900,3600,4400,4400
20220826020539,GET,Get PLPs,4383,0,1300.0,1522.3723821987246,685.7764079995832,5651.871172000028,1158140.985398129,6.9236583868845845,0.0,1300,1500,1800,2000,2600,3200,3800,4200,5400,5700,5700
20220826020539,GET,Get cfuid,4400,0,330.0,522.0607302738634,119.71471699962422,4226.472146000106,674001.4520454545,6.950512640267435,0.0,330,500,650,750,1200,1600,2100,2600,3400,4200,4200
20220826020539,GET,Go to Payment Page,4294,0,1800.0,2786.063966905213,531.6791569994166,22563.466383000105,843188.1746623195,6.783068472115539,0.0,1800,2700,3500,4100,5900,8300,11000,12000,15000,23000,23000
20220826020539,GET,Open PDP Page,8758,0,130.0,246.75329014512675,50.53645999987566,4135.770670000056,170996.81925097056,13.834679478059591,0.0,130,210,280,340,560,840,1300,1600,2900,4100,4100
20220826020539,POST,Set Shipment Information,4316,3,2700.0,5061.259466857277,541.3627749994703,37449.05618899975,15.458758109360518,6.817821035316875,0.0047389858910914,2700,4300,5800,6900,13000,19000,25000,29000,34000,37000,37000
20220826020539,GET,Verify Cart,4367,0,440.0,829.6001739248956,141.1247279993404,13521.049990999927,680610.3558506984,6.89838379546543,0.0,440,670,890,1100,1800,2800,4300,5900,12000,14000,14000
20220826014922,POST,Add to Bag,8248,12,290.0,412.2654967207807,78.91562899976634,3728.945458999988,15508.41379728419,14.207388285328388,0.0206703030339404,290,410,510,590,860,1200,1600,1900,3000,3700,3700
20220826014922,GET,Cart Review,4099,0,1000.0,1534.9926563486274,112.59885499976008,31858.073186000183,44.0,7.060631011343485,0.0,1000,1500,2000,2300,3300,4200,5400,6200,23000,32000,32000
20220826014922,GET,Get Cookies,4155,0,490.0,697.955689290975,139.35663199981718,5347.387542999968,656609.8953068592,7.157092425501873,0.0,490,710,890,1000,1500,2000,2400,2800,3600,5300,5300
20220826014922,GET,Get PLPs,4137,0,1600.0,1881.5867692040104,699.6677839997574,13130.684071999896,1158141.3700749336,7.126086970950963,0.0,1600,1900,2200,2500,3200,3800,4700,5700,10000,13000,13000
20220826014922,GET,Get cfuid,4159,0,370.0,580.3362860411115,120.01210700009324,3896.728716000325,674001.6580908872,7.163982526513187,0.0,370,550,710,840,1300,1800,2300,2700,3400,3900,3900
20220826014922,GET,Go to Payment Page,4052,0,2000.0,2508.7343821322743,528.955565999695,33353.877880000255,827534.685834156,6.979672324460552,0.0,2000,2700,3300,3800,4900,5700,6600,7500,28000,33000,33000
20220826014922,GET,Open PDP Page,8255,0,130.0,259.55989602895306,51.00863100005881,4087.714355999651,170991.03101150817,14.219445962098186,0.0,130,210,290,350,590,900,1400,1700,3000,4100,4100
20220826014922,POST,Set Shipment Information,4089,2,2700.0,4502.876497977248,559.9833139999646,45190.12775800002,15.322817314746882,7.043405758815201,0.0034450505056567,2700,4300,5600,6600,11000,15000,18000,20000,35000,45000,45000
