Sample Material,ID,MFR,TML,Category,CVCM,Space Code,WVR,Material Usage,Cure
"""V"" MATERIAL IN CLICKBOND CB4023V, GLASS/PEI - 40% GLASS",GSC33214,CLB,0.37,12,0,1,0.35,CLICKBOND,
"""VC"" MATERIAL IN CLICKBOND CB9257VC, CARBON FILLED PEI",GSC33217,CLB,0.52,12,0,1,0.28,CLICKBOND,
"0.5 MIL KAPTON KEVLAR, SHELDAHL 177544",GSC32950,SCH,2.48,6,0.05,1,1.97,BLANKET MATERIAL,
0667 BLACK EPDM,GSC34174,PRS,0.65,15,0.13,1,0.07,ORING,
1 INCH COPPER TAPE ,GSC33829,MMM,0.24,16,0.08,1,0.01,TAPE,
"1.6 MIL GBK NOMEX, SHELDAHL 177541-001",GSC32947,SCH,1.81,6,0.03,1,1.76,BLANKET MATERIAL,
"100 DUN-LAM, GE COATED BLACK KAPTON XC",GSC33397,DUN,0.89,6,0.01,1,0.67,COND BLANKET FILM,
10SL7AP APPLE RUBBER 70 DURIMETER PHENYL SILICONE O-RING,GSC34036,APR,0.26,15,0.07,1,0.05,O-RING,4H
10SL7AP APPLE RUBBER 70 DURIMETER PHENYL SILICONE O-RING,GSC34039,APR,0.09,15,0.01,2,0.05,O-RING,4H
1170 ALUMINUM FOIL EMI SHIELDING TAPE,GSC32728,MMM,0.3,16,0.09,1,0.02,TAPE,
1181 COPPER FOIL EMI SHIELDING TAPE WITH COND ACRYLIC ADHESIVE,GSC32731,MMM,0.18,16,0.03,1,0.01,TAPE,
11N LAMINATE,GSC29152,ARL4,0.32,10,0,1,0.23,LAMINATE,
13664 FLUOROCARBON RUBBER (F75),GSC33088,PCX,0.13,15,0,2,0.06,RUBBER,10M
160 D-M GERMANIUM / BLACK KAPTON XC/NOMEX LOT # 06121934-1,GSC30253,DUM,1.95,6,0.07,1,1.61,BLANKET,
1692 ACRYLIC TRANSFER TAPE,GSC32425,VEN,0.6,16,0.01,1,0.19,CONDUCTIVE TAPE,
"195 DENIER KEVLAR 49, PLAIN WEAVE 34 X 33",GSC31495,FAB,2.1,6,0.04,1,1.8,MICROMETEROID SHIELD,
1P802YE POLYESTER FILM ,GSC28111,LOP,0.79,16,0.02,1,0.35,TAPE,
27% NI-CLAD COPPER WIRE WITH H-ALCAL INSULATION,GSC29605,CFW,0.03,99,0.01,1,0.02,WIRE,3H
"275 D-E GERMANIUM/BLACK KAPTON ""XC230""/DVA (CLEAN)",GSC28267,DUN,1.63,6,0.01,1,1.27,THERMAL BLANKET,
"275 D-E GERMANIUM/BLACK KAPTON ""XC230""/DVA (DISCOLORED)",GSC28270,DUN,1.51,6,0.01,1,1.2,THERMAL BLANKET,
3 HOUR EPOXY A/B 1/1 PWB,GSC27526,UNK,14.13,0,0.04,1,0.37,ADHESIVE,14D
3 HOUR EPOXY A/B 1/1 PWB,GSC27532,UNK,13.6,0,0.02,2,0.34,ADHESIVE,14D
